상품종류,단축코드,표준코드, 한글종목명, ATM구분, 행사가, 월물구분코드, 기초자산 단축코드, 기초자산 명
A,4A4W0601,KR44A4W6W9S4,고배당50   SP 2506-2509,,0,1,163,고배당50
A,4A4W0602,KR44A4W6WCS2,고배당50   SP 2506-2512,,0,1,163,고배당50
A,4A4W0603,KR44A4W663S2,고배당50   SP 2506-2603,,0,1,163,고배당50
A,4A5W0601,KR44A5W6W9S1,배당성장50 SP 2506-2509,,0,1,164,배당성장50
A,4A5W0602,KR44A5W6WCS1,배당성장50 SP 2506-2512,,0,1,164,배당성장50
A,4A5W0603,KR44A5W663S1,배당성장50 SP 2506-2603,,0,1,164,배당성장50
A,4A6W0601,KR44A6W6W9S9,건설SP 2506-2509,,0,1,2009,K건설
A,4A6W0602,KR44A6W6WCS0,건설SP 2506-2512,,0,1,2009,K건설
A,4A6W0603,KR44A6W663S0,건설SP 2506-2603,,0,1,2009,K건설
A,4A7W0601,KR44A7W6W9S7,중공업SP 2506-2509,,0,1,2010,K중공업
A,4A7W0602,KR44A7W6WCS9,중공업SP 2506-2512,,0,1,2010,K중공업
A,4A7W0603,KR44A7W663S9,중공업SP 2506-2603,,0,1,2010,K중공업
A,4A8W0601,KR44A8W6W9S5,헬스케어SP 2506-2509,,0,1,2018,K헬스케어
A,4A8W0602,KR44A8W6WCS8,헬스케어SP 2506-2512,,0,1,2018,K헬스케어
A,4A8W0603,KR44A8W663S8,헬스케어SP 2506-2603,,0,1,2018,K헬스케어
A,4A9W0601,KR44A9W6W9S3,철강소재   SP 2506-2509,,0,1,2011,K철강소재
A,4A9W0602,KR44A9W6WCS7,철강소재   SP 2506-2512,,0,1,2011,K철강소재
A,4A9W0603,KR44A9W663S7,철강소재   SP 2506-2603,,0,1,2011,K철강소재
A,4AAW0601,KR44AAW6W9S8,생활소비재 SP 2506-2509,,0,1,2015,K생활소비재
A,4AAW0602,KR44AAW6WCS7,생활소비재 SP 2506-2512,,0,1,2015,K생활소비재
A,4AAW0603,KR44AAW663S7,생활소비재 SP 2506-2603,,0,1,2015,K생활소비재
A,4ABW0601,KR44ABW6W9S6,산업재     SP 2506-2509,,0,1,2017,K산업재
A,4ABW0602,KR44ABW6WCS6,산업재     SP 2506-2512,,0,1,2017,K산업재
A,4ABW0603,KR44ABW663S6,산업재     SP 2506-2603,,0,1,2017,K산업재
A,4ACW0601,KR44ACW6W9S4,BBIG           SP 2506-2509,,0,1,4411,KRX BBIG 지수
A,4ACW0602,KR44ACW6WCS5,BBIG           SP 2506-2512,,0,1,4411,KRX BBIG 지수
A,4ACW0603,KR44ACW663S5,BBIG           SP 2506-2603,,0,1,4411,KRX BBIG 지수
A,4ADW0601,KR44ADW6W9S2,2차전지 TOP 10 SP 2506-2509,,0,1,4412,KRX 2차전지TOP 10 지수
A,4ADW0602,KR44ADW6WCS4,2차전지 TOP 10 SP 2506-2512,,0,1,4412,KRX 2차전지TOP 10 지수
A,4ADW0603,KR44ADW663S4,2차전지 TOP 10 SP 2506-2603,,0,1,4412,KRX 2차전지TOP 10 지수
A,4AEW0601,KR44AEW6W9S0,바이오 TOP 10  SP 2506-2509,,0,1,4413,KRX 바이오 TOP 10 지수
A,4AEW0602,KR44AEW6WCS3,바이오 TOP 10  SP 2506-2512,,0,1,4413,KRX 바이오 TOP 10 지수
A,4AEW0603,KR44AEW663S3,바이오 TOP 10  SP 2506-2603,,0,1,4413,KRX 바이오 TOP 10 지수
A,4AGW0601,KR44AGW6W9S5,코스닥글로벌 SP 2506-2509,,0,1,1049,코스닥 글로벌
A,4AGW0602,KR44AGW6WCS1,코스닥글로벌 SP 2506-2512,,0,1,1049,코스닥 글로벌
A,4AGW0603,KR44AGW663S1,코스닥글로벌 SP 2506-2603,,0,1,1049,코스닥 글로벌
A,4AHW0601,KR44AHW6W9S3,코리아밸류업 SP 2506-2509,,0,1,4446,코리아 밸류업 지수
A,4AHW0602,KR44AHW6WCS0,코리아밸류업 SP 2506-2512,,0,1,4446,코리아 밸류업 지수
A,4AHW0603,KR44AHW663S0,코리아밸류업 SP 2506-2603,,0,1,4446,코리아 밸류업 지수
1,A01603,KR4A01630008,F 202603,,0,4,2001,KOSPI200
1,A01606,KR4A01660005,F 202606,,0,5,2001,KOSPI200
1,A01612,KR4A016C0004,F 202612,,0,6,2001,KOSPI200
1,A01712,KR4A017C0003,F 202712,,0,7,2001,KOSPI200
3,A06603,KR4A06630003,코스닥150F 202603,,0,4,3003,KSQ150
3,A06606,KR4A06660000,코스닥150F 202606,,0,5,3003,KSQ150
3,A06612,KR4A066C0003,코스닥150F 202612,,0,6,3003,KSQ150
3,A06712,KR4A067C0002,코스닥150F 202712,,0,7,3003,KSQ150
F,A07603,KR4A07630002,유로스톡스50F 202603,,0,4,6291,Euro Stoxx 50 Daily Short (Gross Return)
F,A07606,KR4A07660009,유로스톡스50F 202606,,0,5,6291,Euro Stoxx 50 Daily Short (Gross Return)
F,A07609,KR4A07690006,유로스톡스50F 202609,,0,6,6291,Euro Stoxx 50 Daily Short (Gross Return)
F,A07612,KR4A076C0001,유로스톡스50F 202612,,0,7,6291,Euro Stoxx 50 Daily Short (Gross Return)
F,A07703,KR4A07730000,유로스톡스50F 202703,,0,8,6291,Euro Stoxx 50 Daily Short (Gross Return)
H,A08603,KR4A08630001,KRX300F 202603,,0,4,4300,KRX 300
9,AA0603,KR4AA0630009,에너지화학F 202603,,0,4,2012,K에너지화학
9,AA1603,KR4AA1630008,정보기술F 202603,,0,4,2013,K정보기술
9,AA2603,KR4AA2630007,금융F 202603,,0,4,2014,K금융
9,AA3603,KR4AA3630006,경기소비재F 202603,,0,4,2016,K경기소비재
9,AA4603,KR4AA4630005,고배당50   F 202603,,0,4,163,고배당50
9,AA5603,KR4AA5630004,배당성장50 F 202603,,0,4,164,배당성장50
9,AA6603,KR4AA6630003,건설F 202603,,0,4,2009,K건설
9,AA7603,KR4AA7630002,중공업F 202603,,0,4,2010,K중공업
9,AA8603,KR4AA8630001,헬스케어F 202603,,0,4,2018,K헬스케어
9,AA9603,KR4AA9630000,철강소재   F 202603,,0,4,2011,K철강소재
9,AAA603,KR4AAA630005,생활소비재 F 202603,,0,4,2015,K생활소비재
9,AAB603,KR4AAB630004,산업재     F 202603,,0,4,2017,K산업재
9,AAC603,KR4AAC630003,BBIG           F 202603,,0,4,4411,KRX BBIG 지수
9,AAD603,KR4AAD630002,2차전지 TOP 10 F 202603,,0,4,4412,KRX 2차전지TOP 10 지수
9,AAE603,KR4AAE630001,바이오 TOP 10  F 202603,,0,4,4413,KRX 바이오 TOP 10 지수
9,AAG603,KR4AAG630009,코스닥글로벌 F 202603,,0,4,1049,코스닥 글로벌
9,AAH603,KR4AAH630008,코리아밸류업 F 202603,,0,4,4446,코리아 밸류업 지수
5,201W06190,KR4201W61907,C 202506 190.0,2,190,,2001,KOSPI200
5,201W06192,KR4201W61923,C 202506 192.5,2,192.5,,2001,KOSPI200
5,201W06195,KR4201W61956,C 202506 195.0,2,195,,2001,KOSPI200
5,201W06197,KR4201W61972,C 202506 197.5,2,197.5,,2001,KOSPI200
5,201W06200,KR4201W62004,C 202506 200.0,2,200,,2001,KOSPI200
5,201W06202,KR4201W62020,C 202506 202.5,2,202.5,,2001,KOSPI200
5,201W06205,KR4201W62053,C 202506 205.0,2,205,,2001,KOSPI200
5,201W06207,KR4201W62079,C 202506 207.5,2,207.5,,2001,KOSPI200
5,201W06210,KR4201W62103,C 202506 210.0,2,210,,2001,KOSPI200
5,201W06212,KR4201W62129,C 202506 212.5,2,212.5,,2001,KOSPI200
5,201W06215,KR4201W62152,C 202506 215.0,2,215,,2001,KOSPI200
5,201W06217,KR4201W62178,C 202506 217.5,2,217.5,,2001,KOSPI200
5,201W06220,KR4201W62202,C 202506 220.0,2,220,,2001,KOSPI200
5,201W06222,KR4201W62228,C 202506 222.5,2,222.5,,2001,KOSPI200
5,201W06225,KR4201W62251,C 202506 225.0,2,225,,2001,KOSPI200
5,201W06227,KR4201W62277,C 202506 227.5,2,227.5,,2001,KOSPI200
5,201W06230,KR4201W62301,C 202506 230.0,2,230,,2001,KOSPI200
5,201W06232,KR4201W62327,C 202506 232.5,2,232.5,,2001,KOSPI200
5,201W06235,KR4201W62350,C 202506 235.0,2,235,,2001,KOSPI200
5,201W06237,KR4201W62376,C 202506 237.5,2,237.5,,2001,KOSPI200
5,201W06240,KR4201W62400,C 202506 240.0,2,240,,2001,KOSPI200
5,201W06242,KR4201W62426,C 202506 242.5,2,242.5,,2001,KOSPI200
5,201W06245,KR4201W62459,C 202506 245.0,2,245,,2001,KOSPI200
5,201W06247,KR4201W62475,C 202506 247.5,2,247.5,,2001,KOSPI200
5,201W06250,KR4201W62509,C 202506 250.0,2,250,,2001,KOSPI200
5,201W06252,KR4201W62525,C 202506 252.5,2,252.5,,2001,KOSPI200
5,201W06255,KR4201W62558,C 202506 255.0,2,255,,2001,KOSPI200
5,201W06257,KR4201W62574,C 202506 257.5,2,257.5,,2001,KOSPI200
5,201W06260,KR4201W62608,C 202506 260.0,2,260,,2001,KOSPI200
5,201W06262,KR4201W62624,C 202506 262.5,2,262.5,,2001,KOSPI200
5,201W06265,KR4201W62657,C 202506 265.0,2,265,,2001,KOSPI200
5,201W06267,KR4201W62673,C 202506 267.5,2,267.5,,2001,KOSPI200
5,201W06270,KR4201W62707,C 202506 270.0,2,270,,2001,KOSPI200
5,201W06272,KR4201W62723,C 202506 272.5,2,272.5,,2001,KOSPI200
5,201W06275,KR4201W62756,C 202506 275.0,2,275,,2001,KOSPI200
5,201W06277,KR4201W62772,C 202506 277.5,2,277.5,,2001,KOSPI200
5,201W06280,KR4201W62806,C 202506 280.0,2,280,,2001,KOSPI200
5,201W06282,KR4201W62822,C 202506 282.5,2,282.5,,2001,KOSPI200
5,201W06285,KR4201W62855,C 202506 285.0,2,285,,2001,KOSPI200
5,201W06287,KR4201W62871,C 202506 287.5,2,287.5,,2001,KOSPI200
5,201W06290,KR4201W62905,C 202506 290.0,2,290,,2001,KOSPI200
