acpr,unch_prpr,optn_shrn_iscd,optn_prpr,optn_prdy_vrss,prdy_vrss_sign,optn_prdy_ctrt,optn_bidp,optn_askp,tmvl_val,nmix_sdpr,acml_vol,seln_rsqn,shnu_rsqn,acml_tr_pbmn,hts_otst_stpl_qty,otst_stpl_qty_icdc,delta_val,gama,vega,theta,rho,hts_ints_vltl,invl_val,esdg,dprt,hist_vltl,hts_thpr,optn_oprc,optn_hgpr,optn_lwpr,optn_mxpr,optn_llam,atm_cls_name,rgbf_vrss_icdc,total_askp_rsqn,total_bidp_rsqn,futs_antc_cnpr,futs_antc_cntg_vrss,antc_cntg_vrss_sign,antc_cntg_prdy_ctrt,code,trade_date,collection_time
390.0,2912.57,201W07390,4.29,1.74,2,68.24,4.05,4.48,4.29,2.55,1791,1,1,1896878,4856,946,0.3265,0.0131,0.4192,-0.15,0.1121,20.3561,0.0,-1.37,-24.2,23.6987,5.66,3.17,5.66,2.9,24.2,0.01,OTM,5,43,43,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
387.5,2893.9,201W07387,5.01,1.91,2,61.61,4.51,5.42,5.01,3.1,642,6,6,747675,1831,-262,0.3587,0.0136,0.4344,-0.156,0.1229,20.3346,0.0,-1.44,-22.33,23.6987,6.45,3.69,6.5,3.5,25.8,0.01,OTM,5,33,44,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
385.0,2875.23,201W07385,5.8,2.22,2,62.01,5.02,6.37,5.8,3.58,576,1,1,800593,11149,413,0.3921,0.0139,0.4467,-0.161,0.1341,20.2692,0.0,-1.52,-20.77,23.6987,7.32,4.19,7.52,4.1,27.2,0.01,OTM,0,25,26,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
382.5,2856.56,201W07382,6.62,2.39,2,56.5,6.18,6.71,6.62,4.23,252,1,6,446173,869,46,0.4266,0.0142,0.4559,-0.1649,0.1456,20.0639,0.0,-1.65,-19.95,23.6987,8.27,4.99,8.6,4.83,28.5,0.01,OTM,-1,55,57,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
380.0,2837.89,201W07380,7.81,2.81,2,56.2,7.1,7.6,7.81,5.0,556,6,1,1113815,5153,-154,0.4619,0.0144,0.4617,-0.1677,0.1573,20.4544,0.0,-1.5,-16.11,23.6987,9.31,5.88,9.87,5.66,30.05,0.01,OTM,-1,37,21,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
377.5,2819.22,201W07377,8.79,2.94,2,50.26,7.38,15.1,8.79,5.85,221,1,6,497295,6578,408,0.4977,0.0145,0.4638,-0.1693,0.1692,20.163,0.0,-1.64,-15.72,23.6987,10.43,6.82,11.2,6.82,31.7,0.01,OTM,-1,38,113,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
375.0,2800.55,201W07375,10.0,3.15,2,45.99,9.39,11.3,8.46,6.85,490,6,7,1265388,4232,-494,0.5338,0.0144,0.4621,-0.1696,0.181,20.1432,1.54,-1.64,-14.09,23.6987,11.64,7.88,12.6,7.71,33.45,0.01,OTM,-490,12,84,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
372.5,2781.88,201W07372,11.45,3.66,2,46.98,6.21,12.35,7.41,7.79,323,6,6,977040,982,-128,0.5698,0.0143,0.4567,-0.1686,0.1927,20.4171,4.04,-1.5,-11.58,23.6987,12.95,9.0,13.8,9.0,35.45,0.01,OTM,-2,84,35,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
370.0,2763.21,201W07370,12.85,3.72,2,40.74,12.1,22.9,6.31,9.13,457,2,6,1573538,3200,-154,0.6055,0.014,0.4475,-0.1663,0.2042,20.3536,6.54,-1.49,-10.39,23.6987,14.34,10.7,15.85,10.3,37.2,0.01,ATM,0,3,34,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
367.5,2744.54,201W07367,14.6,4.15,2,39.71,0.31,21.9,5.56,10.45,42,2,14,152425,3308,-9,0.6406,0.0136,0.4347,-0.1628,0.2154,20.8625,9.04,-1.22,-7.71,23.6987,15.82,12.75,16.9,12.65,38.95,0.01,ITM,-2,3,51,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
